Employee_ID,Attrition_rate
EID_22713,0.19145980932584541
EID_9658,0.3198394985788693
EID_22203,0.31339008681849845
EID_7652,0.24523378788586545
EID_6516,0.2163535289418854
EID_20283,0.06113210773273248
EID_21014,0.24301098150167857
EID_7693,0.2634479905399314
EID_13232,0.2867557287002447
EID_6515,0.2917568075757362
EID_13639,0.2603094992272773
EID_14669,0.20431149705875054
EID_16537,0.27045756929957
EID_5782,0.3117369182730928
EID_20157,0.1989019843371346
EID_1855,0.30348183893099945
EID_20748,0.1728876870387597
EID_23179,0.08191558188744619
EID_12838,0.2675915585912323
EID_21656,0.10580226188720346
EID_8844,0.03751347612266018
EID_1536,0.359670161969022
EID_8822,0.05967249381652376
EID_11398,0.14071953648878935
EID_12965,0.24895410847315344
EID_5204,0.2356184693131347
EID_10030,0.2115741455229959
EID_13227,0.16111017806620875
EID_20607,0.2649373594251051
EID_14070,0.007817239268062354
EID_3755,0.21310776741966878
EID_5459,0.30042698885238817
EID_7697,0.2242096528877133
EID_3935,0.12987165110159468
EID_19046,0.07905453160449419
EID_4040,0.12710478928106372
EID_17730,0.06559969663915494
EID_4995,0.1904088276596784
EID_24653,0.2620946705506242
EID_6978,0.006276374141032687
EID_13775,0.20529107084549356
EID_14608,0.21010402086822508
EID_3148,0.3435276749322804
EID_24868,0.2726048006795492
EID_5521,0.10409966990779956
EID_21155,0.16449732193869507
EID_3840,0.5156315309335818
EID_10646,0.19621322953266193
EID_6711,0.24097699351646792
EID_16247,0.20470487613524121
EID_16789,0.36579317197799377
EID_17967,0.16087039581882429
EID_13270,0.17723115536100456
EID_18462,0.13059482202663894
EID_22248,0.23325927044413555
EID_22693,0.3682824099150793
EID_25662,0.22142189263682635
EID_23346,0.12525058748288617
EID_4437,0.2724251911116845
EID_18108,0.3176564438220203
EID_7000,0.12774025255787583
EID_22770,0.11347258686435291
EID_7816,0.22906169613940083
EID_19615,0.06557091704449686
EID_23807,0.31031458026130543
EID_16764,0.12601562709259878
EID_16818,0.21928155895289744
EID_22712,0.07432691313046674
EID_18198,0.352675473280605
EID_11154,0.0865691067746446
EID_22137,0.15746122852654487
EID_11655,0.22367554418859084
EID_18514,0.27932675134790474
EID_24742,0.24338682080119514
EID_16019,0.11537086068239902
EID_7357,0.18255374945915395
EID_20106,0.16671361999483922
EID_13284,0.11933946487613192
EID_5451,0.24807833812872324
EID_19728,0.2409800504098106
EID_9178,0.2007776001960029
EID_13177,0.11664115510187237
